fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,sulphates,alcohol,quality
7.4,0.7,0,0.076,34,0.56,9.4,5
7.8,0.88,0,0.098,67,0.68,9.8,5
7.8,0.76,0.04,0.092,54,0.65,9.8,5
11.2,0.28,0.56,0.075,60,0.58,9.8,6
7.4,0.7,0,0.076,34,0.56,9.4,5
7.4,0.66,0,0.075,40,0.56,9.4,5
7.9,0.6,0.06,0.069,59,0.46,9.4,5
7.3,0.65,0,0.065,21,0.47,10,7
7.8,0.58,0.02,0.073,18,0.57,9.5,7
6.7,0.58,0.08,0.097,65,0.54,9.2,5
5.6,0.615,0,0.089,59,0.52,9.9,5
7.8,0.61,0.29,0.114,29,1.56,9.1,5
8.5,0.28,0.56,0.092,103,0.75,10.5,7
7.9,0.32,0.51,0.341,56,1.08,9.2,6
7.6,0.39,0.31,0.082,71,0.65,9.7,5
7.9,0.43,0.21,0.106,37,0.91,9.5,5
8.5,0.49,0.11,0.084,67,0.53,9.4,5
6.9,0.4,0.14,0.085,40,0.63,9.7,6
6.3,0.39,0.16,0.08,23,0.56,9.3,5
7.6,0.41,0.24,0.08,11,0.59,9.5,5
7.1,0.71,0,0.08,35,0.55,9.4,5
7.8,0.645,0,0.082,16,0.59,9.8,6
6.7,0.675,0.07,0.089,82,0.54,10.1,5
8.3,0.655,0.12,0.083,113,0.66,9.8,5
5.2,0.32,0.25,0.103,50,0.55,9.2,5
7.8,0.645,0,0.086,18,0.55,9.6,6
7.8,0.6,0.14,0.086,15,0.6,10.8,6
8.1,0.38,0.28,0.066,30,0.73,9.7,7
7.3,0.45,0.36,0.074,87,0.83,10.5,5
8.8,0.61,0.3,0.088,46,0.51,9.3,4
7.5,0.49,0.2,0.332,14,0.9,10.5,6
8.1,0.66,0.22,0.069,23,1.2,10.3,5
4.6,0.52,0.15,0.054,65,0.56,13.1,4
7.7,0.935,0.43,0.114,114,0.73,9.2,5
8.8,0.66,0.26,0.074,23,0.74,9.2,5
6.6,0.52,0.04,0.069,15,0.63,9.4,6
6.6,0.5,0.04,0.068,14,0.64,9.4,6
8.6,0.38,0.36,0.081,119,0.56,9.4,5
7.6,0.51,0.15,0.11,73,0.63,10.2,6
10.2,0.42,0.57,0.07,10,0.63,9.6,5
7.8,0.59,0.18,0.076,54,0.59,10,5
7.3,0.39,0.31,0.074,46,0.54,9.4,6
8.8,0.4,0.4,0.079,52,0.64,9.2,5
7.7,0.69,0.49,0.115,112,0.71,9.3,5
7,0.735,0.05,0.081,54,0.57,9.8,5
7.2,0.725,0.05,0.086,11,0.39,10.9,5
7.2,0.725,0.05,0.086,11,0.39,10.9,5
6.6,0.705,0.07,0.076,15,0.58,10.7,5
8,0.705,0.05,0.074,19,0.95,10.5,6
7.7,0.69,0.22,0.084,94,0.48,9.5,5
8.3,0.675,0.26,0.084,43,0.53,9.2,4
8.8,0.41,0.64,0.093,42,0.66,10.5,5
6.8,0.785,0,0.104,30,0.55,10.7,6
6.7,0.75,0.12,0.086,80,0.52,10.1,5
8.3,0.625,0.2,0.08,119,1.12,9.1,4
6.2,0.45,0.2,0.069,15,0.56,9.2,5
7.4,0.5,0.47,0.086,73,0.57,9.1,5
6.3,0.3,0.48,0.069,61,0.78,10.3,6
6.9,0.55,0.15,0.076,40,0.59,10.1,5
8.6,0.49,0.28,0.11,136,1.95,9.9,6
7.7,0.49,0.26,0.062,31,0.64,9.6,5
9.3,0.39,0.44,0.107,125,1.22,9.5,5
7,0.62,0.08,0.076,24,0.53,9,5
7.9,0.52,0.26,0.079,140,0.54,9.5,5
8.6,0.49,0.28,0.11,136,1.95,9.9,6
7.7,0.49,0.26,0.062,31,0.64,9.6,5
5,1.02,0.04,0.045,85,0.48,10.5,4
6.8,0.775,0,0.102,23,0.56,10.7,5
7.6,0.9,0.06,0.079,10,0.56,9.8,5
8.1,0.545,0.18,0.08,35,0.59,9,6
8.3,0.61,0.3,0.084,50,0.61,10.2,6
8.1,0.545,0.18,0.08,35,0.59,9,6
8.1,0.575,0.22,0.077,65,0.51,9.2,5
7.2,0.49,0.24,0.07,36,0.48,9.4,5
8.1,0.575,0.22,0.077,65,0.51,9.2,5
7.8,0.41,0.68,0.467,69,1.31,9.3,5
6.2,0.63,0.31,0.088,64,0.79,9.3,5
7.8,0.56,0.19,0.104,47,0.93,9.5,5
8.4,0.62,0.09,0.084,108,0.66,9.8,5
10.1,0.31,0.44,0.08,46,0.67,9.7,6
7.8,0.56,0.19,0.104,47,0.93,9.5,5
9.4,0.4,0.31,0.09,62,0.63,10.5,6
8.3,0.54,0.28,0.077,40,0.61,10,6
7.3,1.07,0.09,0.178,89,0.57,9,5
8.8,0.55,0.04,0.119,56,0.6,10.9,6
7.3,0.695,0,0.075,13,0.52,9.2,5
7.8,0.5,0.17,0.082,102,0.48,9.5,5
8.2,1.33,0,0.081,12,0.49,10.9,5
8.1,1.33,0,0.082,12,0.48,10.9,5
8,0.59,0.16,0.065,16,0.92,10.5,7
8,0.745,0.56,0.118,134,0.66,9.4,5
5.6,0.5,0.09,0.049,99,0.63,13,5
7.9,1.04,0.05,0.084,29,0.55,9.9,6
8.4,0.745,0.11,0.09,63,0.82,9.6,5
7.2,0.415,0.36,0.081,45,0.64,9.2,5
8.4,0.745,0.11,0.09,63,0.82,9.6,5
5.2,0.34,0,0.05,63,0.79,14,6
6.3,0.39,0.08,0.066,20,0.58,9.4,5
5.2,0.34,0,0.05,63,0.79,14,6
8.1,0.67,0.55,0.117,141,0.62,9.4,5
5.8,0.68,0.02,0.087,94,0.52,10,5
6.9,0.49,0.1,0.074,30,0.58,10.2,6
7.3,0.33,0.47,0.077,11,0.53,10.3,6
9.2,0.52,1,0.61,69,2,9.4,4
7.5,0.6,0.03,0.095,99,0.54,10.1,5
7.5,0.6,0.03,0.095,99,0.54,10.1,5
7.1,0.43,0.42,0.071,128,0.71,10.5,5
7.1,0.43,0.42,0.07,129,0.72,10.5,5
7.1,0.43,0.42,0.071,128,0.71,10.5,5
7.1,0.68,0,0.073,22,0.5,9.3,5
6.8,0.6,0.18,0.079,86,0.57,9.3,6
7.6,0.95,0.03,0.09,20,0.56,9.6,5
7.6,0.68,0.02,0.072,20,1.08,9.2,4
7.8,0.53,0.04,0.076,31,0.56,10,6
7.4,0.6,0.26,0.07,121,0.49,9.4,5
7.3,0.59,0.26,0.07,121,0.49,9.4,5
7.8,0.63,0.48,0.1,96,0.62,9.5,5
6.8,0.64,0.1,0.085,101,0.52,10.2,5
7.3,0.55,0.03,0.072,42,0.48,9,4
6.8,0.63,0.07,0.089,44,0.55,10.4,6
7.9,0.885,0.03,0.058,8,0.33,9.1,4
8,0.42,0.17,0.073,18,0.61,9.2,6
7.4,0.62,0.05,0.068,42,0.57,11.5,6
6.9,0.5,0.04,0.085,49,0.78,9.5,5
7.3,0.38,0.21,0.08,35,0.47,9.5,5
7.5,0.52,0.42,0.087,38,0.61,10.5,6
7,0.805,0,0.068,20,0.56,9.6,5
8.8,0.61,0.14,0.067,42,0.59,9.5,5
8.8,0.61,0.14,0.067,42,0.59,9.5,5
8.9,0.61,0.49,0.27,110,1.02,9.3,5
7.2,0.73,0.02,0.076,42,0.52,9.3,5
6.8,0.61,0.2,0.077,65,0.58,9.3,5
6.7,0.62,0.21,0.079,62,0.58,9.3,6
8.9,0.31,0.57,0.111,85,0.53,9.7,5
7.4,0.39,0.48,0.082,67,0.55,9.2,5
7.9,0.5,0.33,0.084,143,0.55,9.5,5
8.2,0.5,0.35,0.077,127,0.62,9.4,5
6.4,0.37,0.25,0.074,49,0.62,9.8,6
7.6,0.55,0.21,0.071,28,0.55,9.7,5
7.6,0.55,0.21,0.071,28,0.55,9.7,5
7.3,0.58,0.3,0.074,55,0.59,10.2,5
11.5,0.3,0.6,0.067,27,0.97,10.1,6
6.9,1.09,0.06,0.061,31,0.43,11.4,4
9.6,0.32,0.47,0.056,24,0.82,10.3,7
7,0.43,0.36,0.089,37,0.56,9.2,6
12.8,0.3,0.74,0.095,28,0.77,10.8,7
12.8,0.3,0.74,0.095,28,0.77,10.8,7
7.8,0.44,0.28,0.1,95,0.67,9.4,5
9.7,0.53,0.6,0.039,19,0.86,12.4,6
8,0.725,0.24,0.083,62,0.56,10,6
8.2,0.57,0.26,0.06,65,0.43,10.1,5
7.8,0.735,0.08,0.092,41,0.71,9.8,6
7,0.49,0.49,0.06,121,0.76,10.5,5
8.7,0.625,0.16,0.101,49,0.57,11,5
8.1,0.725,0.22,0.072,41,0.55,9.1,5
7.5,0.49,0.19,0.076,44,0.54,9.7,5
7.8,0.34,0.37,0.082,58,0.59,9.4,6
7.4,0.53,0.26,0.101,72,0.57,9.4,5
6.8,0.61,0.04,0.057,10,0.6,9.5,5
8.6,0.645,0.25,0.083,28,0.6,10,6
7.7,0.43,0.25,0.073,63,0.58,10.5,6
8.9,0.59,0.5,0.337,81,1.61,9.5,6
5.2,0.48,0.04,0.054,106,0.62,12.2,7
8,0.38,0.06,0.078,49,0.52,9.9,6
8.5,0.37,0.2,0.09,58,0.7,9.6,6
8.2,1,0.09,0.065,37,0.55,9,6
7.2,0.63,0,0.097,38,0.58,9,6
8.9,0.635,0.37,0.263,62,1.09,9.3,5
12,0.38,0.56,0.093,24,0.71,10.9,6
7.7,0.58,0.1,0.102,109,0.49,9.8,6
15,0.21,0.44,0.075,24,0.84,9.2,7
15,0.21,0.44,0.075,24,0.84,9.2,7
7.3,0.66,0,0.084,23,0.96,9.9,6
7.1,0.68,0.07,0.075,51,0.52,9.5,5
7.3,0.66,0,0.084,23,0.96,9.9,6
10.8,0.32,0.44,0.063,37,0.78,10,6
7.1,0.6,0,0.074,34,0.7,9.9,6
11.1,0.35,0.48,0.09,21,0.53,10.5,5
7.7,0.775,0.42,0.092,86,0.59,9.5,5
8,0.57,0.23,0.073,119,0.57,9.3,5
9.4,0.34,0.37,0.075,13,0.62,9.2,5
6.6,0.695,0,0.075,56,0.67,9.2,5
7.7,0.41,0.76,0.611,45,1.26,9.4,5
10,0.31,0.47,0.085,33,0.8,10.5,7
7.9,0.33,0.23,0.077,45,0.65,9.3,5
7,0.975,0.04,0.087,67,0.6,9.4,4
8,0.52,0.03,0.07,35,0.57,10,5
7.9,0.37,0.23,0.077,49,0.67,9.3,5
12.5,0.56,0.49,0.064,27,0.87,10.9,5
8.1,0.87,0,0.096,61,0.72,9.8,4
7.9,0.35,0.46,0.078,37,0.86,12.8,8
6.9,0.54,0.04,0.077,27,0.91,9.4,6
11.5,0.18,0.51,0.104,23,0.97,10.1,6
7.9,0.545,0.06,0.087,61,0.67,10.7,6
7.9,0.545,0.06,0.087,61,0.67,10.7,6
6.9,0.54,0.04,0.077,27,0.91,9.4,6
11.5,0.18,0.51,0.104,23,0.97,10.1,6
10.3,0.32,0.45,0.073,13,0.82,12.6,8
8.9,0.4,0.32,0.087,47,0.77,10.5,7
11.4,0.26,0.44,0.071,19,0.82,9.3,6
7.7,0.27,0.68,0.358,10,1.08,9.9,7
8.9,0.4,0.32,0.087,47,0.77,10.5,7
9.9,0.59,0.07,0.102,71,0.71,9.8,5
9.9,0.59,0.07,0.102,71,0.71,9.8,5
12,0.45,0.55,0.073,49,0.76,10.3,6
7.5,0.4,0.12,0.092,53,0.7,10.3,6
8.7,0.52,0.09,0.091,49,0.86,10.6,7
11.6,0.42,0.53,0.105,98,0.95,9.2,5
8.7,0.52,0.09,0.091,49,0.86,10.6,7
10.4,0.55,0.23,0.091,48,0.64,10.3,6
6.9,0.36,0.25,0.098,16,0.6,10.1,6
13.3,0.34,0.52,0.094,53,0.81,9.5,6
10.8,0.5,0.46,0.073,27,0.64,9.5,5
10.6,0.83,0.37,0.086,70,0.52,9.9,5
7.1,0.63,0.06,0.083,29,0.73,9.6,5
7.2,0.65,0.02,0.094,31,0.8,9.7,5
7.5,0.53,0.06,0.086,44,0.59,10.7,6
11.1,0.18,0.48,0.068,15,0.64,10.1,6
8.3,0.705,0.12,0.092,28,0.72,10,5
8.4,0.65,0.6,0.112,90,0.52,9.2,5
7.6,0.62,0.32,0.082,54,0.52,9.4,5
10.3,0.41,0.42,0.213,14,0.62,9.5,6
10.3,0.43,0.44,0.214,12,0.63,9.5,6
7.9,0.53,0.24,0.072,105,0.54,9.4,6
9,0.46,0.31,0.093,98,0.63,9.5,6
8.6,0.47,0.3,0.076,135,0.53,9.4,5
7.4,0.36,0.29,0.087,72,0.68,11,5
9.8,0.66,0.39,0.083,59,0.71,11.5,7
9.6,0.77,0.12,0.082,74,0.64,10.4,6
9.3,0.61,0.26,0.09,87,0.62,9.7,5
10,0.49,0.2,0.071,50,0.69,9.2,6
10,0.49,0.2,0.071,50,0.69,9.2,6
11.6,0.53,0.66,0.121,14,0.74,11.5,7
10.3,0.44,0.5,0.107,13,0.83,11.5,5
13.4,0.27,0.62,0.082,21,0.67,9.7,6
8.4,0.56,0.08,0.105,44,0.52,11,5
7.9,0.65,0.01,0.078,38,0.74,11.7,7
11.9,0.695,0.53,0.128,21,0.84,12.2,7
8.9,0.43,0.45,0.052,16,0.7,12.5,6
7.8,0.43,0.32,0.08,58,0.64,10.3,5
12.5,0.28,0.54,0.082,29,1.36,9.8,7
10.9,0.39,0.47,0.118,14,0.75,9.8,6
10.9,0.39,0.47,0.118,14,0.75,9.8,6
11.9,0.57,0.5,0.082,32,0.78,10.7,6
13.8,0.49,0.67,0.093,15,0.93,12,6
9.6,0.56,0.31,0.089,46,0.92,10,6
9.1,0.795,0,0.096,26,0.83,9.4,6
7.7,0.665,0,0.09,19,0.73,9.3,5
13.5,0.53,0.79,0.12,77,0.77,13,5
6.1,0.21,0.4,0.066,165,0.59,11.9,6
6.7,0.75,0.01,0.078,32,0.61,12.8,6
11.5,0.41,0.52,0.08,55,0.88,11,5
10.5,0.42,0.66,0.116,29,0.75,11.7,7
11.9,0.43,0.66,0.109,23,0.85,10.4,7
12.6,0.38,0.66,0.088,41,0.68,9.8,6
8.2,0.7,0.23,0.099,81,0.7,9.4,5
8.6,0.45,0.31,0.086,50,0.91,9.9,6
11.9,0.58,0.66,0.072,37,0.56,10,5
12.5,0.46,0.63,0.071,15,0.87,10.2,5
12.8,0.615,0.66,0.083,42,0.73,10,7
12.8,0.615,0.66,0.083,42,0.73,10,7
10.4,0.575,0.61,0.076,24,0.69,9,5
9.4,0.27,0.53,0.074,18,1.13,12,7
7.9,0.24,0.4,0.056,25,0.87,8.7,6
9.1,0.28,0.48,0.067,46,1.04,10.6,6
11.5,0.45,0.5,0.078,47,1.11,11,6
9.4,0.27,0.53,0.074,18,1.13,12,7
11.4,0.625,0.66,0.088,24,0.99,13.3,6
8.3,0.26,0.42,0.08,27,0.8,9.4,6
7.7,0.51,0.28,0.087,54,0.74,9.2,5
7.8,0.46,0.26,0.088,53,0.74,9.2,6
5.6,0.85,0.05,0.045,88,0.82,12.9,8
13.7,0.415,0.68,0.085,43,0.8,10,6
9.5,0.37,0.52,0.082,26,0.51,9.5,5
12,0.37,0.76,0.066,38,0.6,13,7
6.6,0.735,0.02,0.122,124,0.53,9.9,5
11.5,0.59,0.59,0.087,49,0.65,11,6
8.7,0.765,0.22,0.064,42,0.55,9.4,5
6.6,0.735,0.02,0.122,124,0.53,9.9,5
12.2,0.48,0.54,0.085,64,0.61,10.5,6
11.4,0.6,0.49,0.085,41,0.63,10.5,6
7.7,0.69,0.05,0.075,27,0.61,9.1,5
9.8,0.44,0.47,0.063,28,0.65,10.8,6
12,0.39,0.66,0.093,30,0.63,10.8,7
12.5,0.46,0.49,0.07,49,0.57,9.6,4
9,0.43,0.34,0.08,86,0.62,9.5,6
7.1,0.735,0.16,0.1,77,0.64,9.3,5
9.9,0.4,0.53,0.097,19,0.82,11.7,7
8.8,0.52,0.34,0.087,122,0.61,9.5,5
8.6,0.725,0.24,0.117,134,1.07,9.3,5
10.6,0.48,0.64,0.111,20,0.66,11.7,6
7,0.58,0.12,0.091,124,0.48,10.5,5
11.9,0.38,0.51,0.121,20,0.76,10.4,6
6.8,0.77,0,0.066,52,0.68,9.9,5
6.6,0.84,0.03,0.059,48,0.56,12.3,7
7.7,0.96,0.2,0.047,60,0.44,10.9,5
10.5,0.24,0.47,0.066,24,0.9,11,7
6.6,0.84,0.03,0.059,48,0.56,12.3,7
6.4,0.67,0.08,0.045,48,0.49,11.4,6
9.5,0.78,0.22,0.077,32,0.56,10.6,6
9.1,0.52,0.33,0.07,30,0.6,9.3,5
12.8,0.84,0.63,0.088,35,0.6,10.4,6
10.5,0.24,0.47,0.066,24,0.9,11,7
7.8,0.55,0.35,0.074,66,0.56,9.2,5
12.3,0.39,0.63,0.091,18,0.49,9.5,5
10.4,0.41,0.55,0.076,54,0.89,9.9,6
12.3,0.39,0.63,0.091,18,0.49,9.5,5
8,0.67,0.3,0.06,62,0.56,10.2,6
11.1,0.45,0.73,0.066,22,0.66,11.2,6
7,0.62,0.18,0.062,50,0.6,9.3,5
12.6,0.31,0.72,0.072,29,0.82,9.8,8
15.6,0.685,0.76,0.1,43,0.68,11.2,7
5.3,0.57,0.01,0.054,27,0.84,12.5,7
12.5,0.38,0.6,0.081,72,0.73,10.5,5
9.3,0.48,0.29,0.127,16,0.72,11.2,5
8.6,0.53,0.22,0.1,27,0.56,10.2,6
11.9,0.39,0.69,0.095,35,0.61,10.8,6
11.9,0.39,0.69,0.095,35,0.61,10.8,6
6.8,0.56,0.03,0.084,35,0.63,10,6
10.4,0.33,0.63,0.084,22,0.74,11.2,7
7,0.23,0.4,0.063,67,0.63,11.1,5
11.3,0.62,0.67,0.086,19,0.69,13.4,8
8.9,0.59,0.39,0.095,22,0.58,10.3,5
9.2,0.63,0.21,0.097,65,0.58,9.6,5
11.6,0.58,0.66,0.074,47,0.57,9,3
9.2,0.43,0.52,0.083,23,0.61,11.3,6
8.3,0.615,0.22,0.087,19,0.61,9.3,5
11.5,0.315,0.54,0.084,15,0.7,9.2,6
10.3,0.5,0.42,0.069,51,0.72,11.5,6
8.8,0.46,0.45,0.065,18,0.79,14,6
11.4,0.36,0.69,0.09,21,0.62,9.2,6
8.7,0.82,0.02,0.07,48,0.58,9.8,5
13,0.32,0.65,0.093,47,0.61,10.6,5
9.6,0.54,0.42,0.081,52,0.71,11.4,6
12.5,0.37,0.55,0.083,68,0.82,10.4,6
9.6,0.68,0.24,0.087,28,0.6,10.2,5
9.3,0.27,0.41,0.091,16,0.7,9.7,5
10.4,0.24,0.49,0.075,20,1.06,11,6
9.4,0.685,0.11,0.077,31,0.7,10.1,6
10.6,0.28,0.39,0.069,23,0.66,9.2,5
9.4,0.3,0.56,0.08,17,0.92,11.7,8
10.6,0.36,0.6,0.152,18,1.06,9.4,5
10.2,0.67,0.39,0.054,17,0.47,10,5
10.2,0.645,0.36,0.053,14,0.42,10,6
9.3,0.39,0.4,0.073,26,0.75,10.2,6
9.2,0.41,0.5,0.055,25,0.79,13.3,7
8.9,0.4,0.51,0.052,27,0.9,13.4,7
8.7,0.69,0.31,0.086,81,0.74,11.6,6
6.5,0.39,0.23,0.051,91,0.55,12.1,6
10.7,0.35,0.53,0.07,16,0.65,11,8
7.8,0.52,0.25,0.081,38,0.65,9,6
7.2,0.34,0.32,0.09,113,0.79,11.1,5
10.7,0.35,0.53,0.07,16,0.65,11,8
8.7,0.69,0.31,0.086,81,0.74,11.6,6
7.8,0.52,0.25,0.081,38,0.65,9,6
10.4,0.44,0.73,0.074,76,0.85,12,7
10.4,0.44,0.73,0.074,76,0.85,12,7
10.5,0.24,0.42,0.077,22,1.05,10.8,7
10.2,0.49,0.63,0.072,26,0.78,12.5,7
10.4,0.24,0.46,0.075,21,1.02,10.8,7
11.2,0.67,0.55,0.084,13,0.71,9.5,6
13.3,0.29,0.75,0.084,43,0.68,11.4,7
10,0.59,0.31,0.09,62,0.63,10.2,6
10.7,0.4,0.48,0.125,49,0.81,9.7,6
10.5,0.51,0.64,0.107,15,0.66,11.8,7
10.5,0.51,0.64,0.107,15,0.66,11.8,7
8.5,0.655,0.49,0.122,151,1.14,9.3,5
12.5,0.6,0.49,0.1,14,0.74,11.9,6
10.4,0.61,0.49,0.2,16,0.63,8.4,3
9.8,0.25,0.49,0.088,33,0.9,10,6
9.3,0.4,0.49,0.085,142,0.55,9.4,5
9.2,0.43,0.49,0.086,116,0.64,9.5,5
7,0.38,0.49,0.097,85,0.77,11.4,6
9.9,0.63,0.24,0.077,33,0.57,9.4,5
9.1,0.22,0.24,0.078,28,0.87,10.3,6
11.9,0.38,0.49,0.098,42,0.61,10.3,5
11.9,0.38,0.49,0.098,42,0.61,10.3,5
10.3,0.27,0.24,0.072,33,0.66,12.8,6
